item,zone
S3WLM1,yma_stage
S3WLM1,yma_seat
S3WLM1,yma_ctrl
S3WLM1,yma_dressingA
S3WLM1,yma_dressingB
S3WLM1,yma_backstage
S3WLM1,yma_showerA
S3WLM1,yma_showerB
S3WLM1,les_office
S3WLM2,yma_stage
S3WLM2,yma_seat
S3WLM2,yma_ctrl
S3WLM2,yma_dressingA
S3WLM2,yma_dressingB
S3WLM2,yma_backstage
S3WLM2,yma_showerA
S3WLM2,yma_showerB
S3WLM2,les_office
S3WLM3,yma_stage
S3WLM3,yma_seat
S3WLM3,yma_ctrl
S3WLM3,yma_dressingA
S3WLM3,yma_dressingB
S3WLM3,yma_backstage
S3WLM3,yma_showerA
S3WLM3,yma_showerB
S3WLM3,les_office
S3WLM4,yma_stage
S3WLM4,yma_seat
S3WLM4,yma_ctrl
S3WLM4,yma_dressingA
S3WLM4,yma_dressingB
S3WLM4,yma_backstage
S3WLM4,yma_showerA
S3WLM4,yma_showerB
S3WLM4,les_office
S3WLM5,yma_stage
S3WLM5,yma_seat
S3WLM5,yma_ctrl
S3WLM5,yma_dressingA
S3WLM5,yma_dressingB
S3WLM5,yma_backstage
S3WLM5,yma_showerA
S3WLM5,yma_showerB
S3WLM5,les_office
S3WLM6,yma_stage
S3WLM6,yma_seat
S3WLM6,yma_ctrl
S3WLM6,yma_dressingA
S3WLM6,yma_dressingB
S3WLM6,yma_backstage
S3WLM6,yma_showerA
S3WLM6,yma_showerB
S3WLM6,les_office
S3WLM7,yma_stage
S3WLM7,yma_seat
S3WLM7,yma_ctrl
S3WLM7,yma_dressingA
S3WLM7,yma_dressingB
S3WLM7,yma_backstage
S3WLM7,yma_showerA
S3WLM7,yma_showerB
S3WLM7,les_office
S3WLM8,yma_stage
S3WLM8,yma_seat
S3WLM8,yma_ctrl
S3WLM8,yma_dressingA
S3WLM8,yma_dressingB
S3WLM8,yma_backstage
S3WLM8,yma_showerA
S3WLM8,yma_showerB
S3WLM8,les_office
S3DIB1,yma_stage
S3DIB1,yma_seat
S3DIB1,yma_ctrl
S3DIB1,yma_dressingA
S3DIB1,yma_dressingB
S3DIB1,yma_backstage
S3DIB1,yma_showerA
S3DIB1,yma_showerB
S3DIB1,les_office
S3IPAD1,yma_stage
S3IPAD1,yma_seat
S3IPAD1,yma_ctrl
S3IPAD1,yma_dressingA
S3IPAD1,yma_dressingB
S3IPAD1,yma_backstage
S3IPAD1,yma_showerA
S3IPAD1,yma_showerB
S3IPAD1,les_office
CYMWK1,les_office
CYMWK2,les_office
CYMWK3,les_office
CYMWK4,les_office
CYMWK5,les_office
S3SM1,yma_stage
S3SM1,yma_seat
S3SM1,yma_ctrl
S3SM1,yma_dressingA
S3SM1,yma_dressingB
S3SM1,yma_backstage
S3SM1,yma_showerA
S3SM1,yma_showerB
S3SM1,les_office
S3SM2,yma_stage
S3SM2,yma_seat
S3SM2,yma_ctrl
S3SM2,yma_dressingA
S3SM2,yma_dressingB
S3SM2,yma_backstage
S3SM2,yma_showerA
S3SM2,yma_showerB
S3SM2,les_office
S3SM3,yma_stage
S3SM3,yma_seat
S3SM3,yma_ctrl
S3SM3,yma_dressingA
S3SM3,yma_dressingB
S3SM3,yma_backstage
S3SM3,yma_showerA
S3SM3,yma_showerB
S3SM3,les_office
LESDIB1,cymcc_office
LESDIB2,cymcc_office
LESDIB3,cymcc_office